author_sort,authors,comments,cover,timestamp,formats,isbn,identifiers,languages,library_name,pubdate,publisher,rating,series,series_index,size,tags,title,title_sort,id,uuid
"Unknown","Unknown","","/home/dido/Nextcloud/doktorantura/onet/documentation/library/Unknown/10.1109@IMCEC.2016.7867413 (59)/cover.jpg","2018-01-17T16:19:22+02:00","pdf","","","","library","2017-02-25T06:55:24+02:00","","","","1.0","3387966","","10.1109@IMCEC.2016.7867413","10.1109@IMCEC.2016.7867413","59","7267e15d-cc23-4171-8b16-8ea99f08f017"
"Mr. Nathan Holzhauer, Mr. James Milligan, Mr. Nathaniel Soule","Mr. Nathan Holzhauer, Mr. James Milligan, Mr. Nathaniel Soule","","/home/dido/Nextcloud/doktorantura/onet/documentation/library/Mr. Nathan Holzhauer, Mr. James Milligan, Mr. Nathaniel Soule/A Hybrid P2P and Pub_Sub Messaging System for Decentralized Information Management (60)/cover.jpg","2018-01-17T16:19:22+02:00","pdf","","","","library","2016-09-16T01:27:35+03:00","","","","1.0","810291","","A Hybrid P2P and Pub/Sub Messaging System for Decentralized Information Management","Hybrid P2P and Pub/Sub Messaging System for Decentralized Information Management, A","60","a551efdf-414f-4b42-ae26-fc05a092ddd1"
"Hidekazu Suzuki, Mianxiong Dong, He Li, Kaoru Ota, Chaofeng Zhang","Hidekazu Suzuki, Mianxiong Dong, He Li, Kaoru Ota, Chaofeng Zhang","","/home/dido/Nextcloud/doktorantura/onet/documentation/library/Hidekazu Suzuki, Mianxiong Dong, He Li, Kaoru Ota, Chaofeng Zhang/Overlay Optimization for Cost Efficient P2P Streaming Service (61)/cover.jpg","2018-01-17T16:19:22+02:00","pdf","","","","library","0101-01-01T02:00:00+02:00","","","","1.0","253271","2016 Joint 8th International Conference on Soft Computing and Intelligent Systems and 2016 17th International Symposium on Advanced Intelligent Systems, P2P streaming, network structure","Overlay Optimization for Cost Efficient P2P Streaming Service","Overlay Optimization for Cost Efficient P2P Streaming Service","61","2d783e20-07b1-45e8-8c5f-52050a004a4c"
"lenovo","lenovo","","/home/dido/Nextcloud/doktorantura/onet/documentation/library/lenovo/(Microsoft Word - _270_361_312_2751) (62)/cover.jpg","2018-01-17T16:19:22+02:00","pdf","","","","library","2016-09-08T09:18:44+03:00","","","","1.0","830179","","(Microsoft Word - \270\361\312\2751)","(Microsoft Word - \270\361\312\2751)","62","849ecfc9-d640-4d62-a2ab-1a163207b64f"
"Unknown","Unknown","","","2018-01-17T16:19:23+02:00","html","","","","library","0101-01-01T02:00:00+02:00","","","","1.0","0","","hassanzadehnazarabadi2016","hassanzadehnazarabadi2016","63","f4c3e944-2be8-48e9-8c7a-f1706cb62b5d"
"Unknown","Unknown","","/home/dido/Nextcloud/doktorantura/onet/documentation/library/Unknown/TPDS2468227.pdf (64)/cover.jpg","2018-01-17T16:19:23+02:00","pdf","","","","library","2015-08-13T11:56:05+03:00","","","","1.0","2172364","","TPDS2468227.pdf","TPDS2468227.pdf","64","d4556fb4-a314-472d-adcd-ae8799e1a766"
"Unknown","Unknown","","/home/dido/Nextcloud/doktorantura/onet/documentation/library/Unknown/ma2016 (1) (65)/cover.jpg","2018-01-17T16:19:23+02:00","pdf","","","","library","2016-09-13T09:22:05+03:00","","","","1.0","275569","","ma2016 (1)","ma2016 (1)","65","470d6a33-798d-4667-babd-8d8d93bd7a09"
"Lamia Alkwai, Achraf Gazdar","Lamia Alkwai, Achraf Gazdar","","/home/dido/Nextcloud/doktorantura/onet/documentation/library/Lamia Alkwai, Achraf Gazdar/Dynamic Quality Adaptive P2P Streaming System (66)/cover.jpg","2018-01-17T16:19:23+02:00","pdf","","","","library","2016-05-09T12:00:54+03:00","","","","1.0","1385794","","Dynamic Quality Adaptive P2P Streaming System","Dynamic Quality Adaptive P2P Streaming System","66","64fcd1a6-26f3-4882-ad03-7adbb6bad52f"
"Unknown","Unknown","","/home/dido/Nextcloud/doktorantura/onet/documentation/library/Unknown/bare_conf 5.pdf (67)/cover.jpg","2018-01-17T16:19:23+02:00","pdf","","","","library","2016-05-10T17:13:12+03:00","","","","1.0","481423","","bare_conf 5.pdf","bare_conf 5.pdf","67","c75f55e0-482b-4754-a5e4-f7f495e29e95"
"Unknown","Unknown","","/home/dido/Nextcloud/doktorantura/onet/documentation/library/Unknown/CMSY10 (68)/cover.jpg","2018-01-17T16:19:23+02:00","pdf","","","","library","2016-02-05T16:45:30+02:00","","","","1.0","118533","","CMSY10","CMSY10","68","abe5f050-c8fa-4a2b-8870-5c3496df3926"
"Parigot, Didier","Didier Parigot","","/home/dido/Nextcloud/doktorantura/onet/documentation/library/Didier Parigot/Microsoft Word - CIKMdem023-draidi.docx (69)/cover.jpg","2018-01-17T16:19:23+02:00","pdf","","","","library","2011-09-03T17:51:13+03:00","","","","1.0","677583","P2P","Microsoft Word - CIKMdem023-draidi.docx","Microsoft Word - CIKMdem023-draidi.docx","69","cca945cd-90f7-4100-af3d-ccc556adef11"
"Haiying Shen, Ze Li, Hailang Wang, Jin Li","Haiying Shen, Ze Li, Hailang Wang, Jin Li","","/home/dido/Nextcloud/doktorantura/onet/documentation/library/Haiying Shen, Ze Li, Hailang Wang, Jin Li/Leveraging social network concepts for efficient peer-to-peer live streaming systems (70)/cover.jpg","2018-01-17T16:19:24+02:00","pdf","","","","library","2012-08-13T19:27:06+03:00","","","","1.0","1670819","P2P live streaming, P2P networks, social networks","Leveraging social network concepts for efficient peer-to-peer live streaming systems","Leveraging social network concepts for efficient peer-to-peer live streaming systems","70","89f8de0b-f23d-4705-bf4b-54ffc75916e8"
"Unknown","Unknown","","/home/dido/Nextcloud/doktorantura/onet/documentation/library/Unknown/10.1109@tkde.2004.1318566 (71)/cover.jpg","2018-01-17T16:19:24+02:00","pdf","","","","library","0101-01-01T02:00:00+02:00","","","","1.0","902970","","10.1109@tkde.2004.1318566","10.1109@tkde.2004.1318566","71","9a924628-1404-4e95-80e7-22c8d7ae1564"
"Author","Author","Subject","/home/dido/Nextcloud/doktorantura/onet/documentation/library/Author/Title (72)/cover.jpg","2018-01-17T16:19:24+02:00","pdf","","","","library","2000-08-29T20:57:45+03:00","","","","1.0","245899","Subject, Keywords","Title","Title","72","2156b6b0-0427-4ec1-9a46-38d1de4be7d1"
